"states_uts"
"ANDHRA PRADESH"
"TELANGANA"
"JAMMU & KASHMIR"
"HIMACHAL PRADESH"
"PUNJAB"
"UTTARAKHAND"
"HARYANA"
"UTTAR PRADESH"
"BIHAR"
"SIKKIM"
"ARUNACHAL PRADESH"
"NAGALAND"
"MANIPUR"
"MIZORAM"
"TRIPURA"
"MEGHALAYA"
"ASSAM"
"WEST BENGAL"
"JHARKHAND"
"ORISSA"
"CHHATTISGARH"
"MADHYA PRADESH"
"GUJARAT"
"MAHARASHTRA"
"KARNATAKA"
"GOA"
"KERALA"
"TAMIL NADU"
"DELHI"
"CHANDIGARH"
"RAJASTHAN"
"DAMAN & DIU"
"DADRA & NAGAR HAVELI"
"PONDICHERRY"
"LAKSHADWEEP"
"ANDAMAN & NICOBAR ISLANDS"
"CHATTISGARH"
"ODISHA"
